epoch,loss,accuracy
1,2.892111790052024,0.09486929076893996
2,2.5717329830251714,0.18036438239518032
3,2.4914491486805743,0.2006897000856297
4,2.390680052644463,0.2537286035476192
5,2.3609395186106363,0.2537284081982028
6,2.3203372596412577,0.266195386199541
7,2.263921417728547,0.26828971780756466
8,2.1869407305153468,0.30420466289725356
9,2.1833356493262834,0.31876015381146505
10,2.183864422767393,0.3257355151637908
11,2.133542820202407,0.3342375904001215
12,2.0662331278606128,0.36598463776291057
13,2.144947753414031,0.3421751658121745
14,2.0595734206579066,0.36074011146381335
15,2.119006895762618,0.3696452638154389
16,2.0451803586816273,0.4096459634842411
17,1.944865055494411,0.41651159101916896
18,2.0344695737285,0.39744647638772124
19,1.8594008481630715,0.46242253088182017
20,1.9305778247053904,0.43042999749542565
21,1.8577254523513138,0.47170176608588105
22,1.9545232311371834,0.42546040934901086
23,1.8311332964128064,0.4641657203756353
24,1.6801468151871877,0.5327140510723155
25,1.798620472672165,0.4813946959792927
26,1.7342350857232207,0.5183340462305213
27,1.8284287888516662,0.47958133451400264
28,1.6931921348776868,0.5131181164454388
29,1.7303862874225904,0.5078192967240528
30,1.5530708651388845,0.5879325414857557
31,1.5684661003851121,0.5822493563416183
32,1.7443638965647708,0.5243124620247913
33,1.5404017812462263,0.5995826987810032
34,1.7037028440865136,0.5603597220554146
35,1.5092714468638102,0.6044240079900269
36,1.483665132522583,0.6125492383075016
37,1.5674206404275792,0.5875773554207177
38,1.4128236468120288,0.6619791256484165
39,1.317577499471685,0.6901075629777805
40,1.3500338436454855,0.6799103377967752
41,1.4693986667099819,0.6403472069771059
42,1.4375987468227263,0.6382511928517332
43,1.4628471610366658,0.6277020105751612
44,1.3772132724844,0.6908439974631032
45,1.3127367065798852,0.69279050929572
46,1.3079059790539485,0.6997155794533351
47,1.309686464904457,0.7150942802429199
48,1.3029456579557028,0.708874044174789
49,1.310448907908573,0.7055047086490098
50,1.247677796374085,0.7408282372259325
51,1.3603019452864125,0.7069421450297038
52,1.2367155703165198,0.7468378077271164
53,1.1473314144278086,0.7791130681191721
54,1.2197629923461586,0.7661892696093487
55,1.1392378935249903,0.7841207266494792
56,1.1553532118438392,0.7724665826366793
57,1.1238099662206507,0.7852461117570119
58,1.2182723624731904,0.7522631118374487
59,1.0922019591895482,0.8072818386939264
60,1.1712578327425065,0.767515165575089
61,1.1853541729270771,0.7706296890012679
62,1.0842783180616236,0.8004051804542541
63,1.2390336618628552,0.7667634061587754
64,1.0984572610547465,0.8057349861309092
65,1.2182028849919637,0.7760644828119586
66,1.227300726726491,0.7596129448183121
67,1.1363916002294068,0.7835534834092663
68,1.034273249103177,0.8252369009038454
69,1.1458480458105764,0.8017770398047662
70,1.1681366903807526,0.7750400215066889
71,1.1148877297678301,0.8076813495287332
72,1.1645653550342847,0.7880459067001138
73,1.1524704543493127,0.7792981763039866
74,1.0524516382525044,0.8277575892786826
75,1.1906011576293618,0.7818803612903882
76,1.0372199612279092,0.8162072766211725
77,1.2049560883993744,0.7766693443380376
78,1.0305400257469506,0.8489278813844086
79,1.1290854133585448,0.8127746828140751
80,1.0252256629287555,0.8282863265724593
81,1.0579123314990793,0.8316468105521253
82,0.9937467376391093,0.8498699147214172
83,0.9907092602022233,0.8460818383001512
84,1.0659832954406738,0.8347167148384996
85,1.0824710481910296,0.8293796700816001
86,0.9517975484171222,0.8584894129025039
87,1.1535008020298456,0.7951442862069735
88,0.9193789857690052,0.866305431242912
89,1.0779056992582094,0.8217094380368468
90,0.9683567067628266,0.849855528595627
91,1.015800488892422,0.8440268629340715
92,1.1144637216803848,0.8056500968112741
93,0.9897751076247102,0.8641952958158268
94,0.9473738689576426,0.8566330868710754
95,0.9605868052410823,0.8584027956890804
96,1.055595798389886,0.8463135350135065
97,1.205041451864345,0.7605645569421912
98,0.8927497439487007,0.8867449463054698
99,0.9106041522436245,0.8867057502910655
100,1.0088780946629021,0.8364479413596533
